service_id,stop_id,arrival,departure
06301_01-06-2023-06.15,60000,0,0
06301_01-06-2023-06.15,71801,150,150
03063_01-06-2023-06.30,60000,0,0
03063_01-06-2023-06.30,70600,55,56
03063_01-06-2023-06.30,04040,81,82
03063_01-06-2023-06.30,71801,170,170
03071_01-06-2023-07.00,60000,0,0
03071_01-06-2023-07.00,71801,150,150
03073_01-06-2023-07.30,60000,0,0
03073_01-06-2023-07.30,70200,23,24
03073_01-06-2023-07.30,04040,81,82
03073_01-06-2023-07.30,78400,125,127
03073_01-06-2023-07.30,71500,154,156
03073_01-06-2023-07.30,71801,192,192
03081_01-06-2023-08.00,60000,0,0
03081_01-06-2023-08.00,71801,150,150
03083_01-06-2023-08.30,60000,0,0
03083_01-06-2023-08.30,04040,75,76
03083_01-06-2023-08.30,71801,165,165
03091_01-06-2023-09.00,60000,0,0
03091_01-06-2023-09.00,71801,150,150
03093_01-06-2023-09.30,60000,0,0
03093_01-06-2023-09.30,04040,75,76
03093_01-06-2023-09.30,78400,119,121
03093_01-06-2023-09.30,71500,148,150
03093_01-06-2023-09.30,71801,187,195
03093_01-06-2023-09.30,79300,233,235
03093_01-06-2023-09.30,04307,250,250
06303_01-06-2023-10.30,60000,0,0
06303_01-06-2023-10.30,04040,74,75
06303_01-06-2023-10.30,71801,165,165
03113_01-06-2023-11.30,60000,0,0
03113_01-06-2023-11.30,70600,55,56
03113_01-06-2023-11.30,04040,81,82
03113_01-06-2023-11.30,78400,125,127
03113_01-06-2023-11.30,71500,154,156
03113_01-06-2023-11.30,71801,192,192
03123_01-06-2023-12.30,60000,0,0
03123_01-06-2023-12.30,04040,75,76
03123_01-06-2023-12.30,78400,119,121
03123_01-06-2023-12.30,71801,190,200
03123_01-06-2023-12.30,79300,238,240
03123_01-06-2023-12.30,04307,255,255
03131_01-06-2023-13.00,60000,0,0
03131_01-06-2023-13.00,71801,150,150
19725_01-06-2023-13.25,60000,0,0
19725_01-06-2023-13.25,70200,23,25
19725_01-06-2023-13.25,04040,82,85
19725_01-06-2023-13.25,71500,139,141
19725_01-06-2023-13.25,71801,177,189
19725_01-06-2023-13.25,79300,227,230
19725_01-06-2023-13.25,04307,244,244
03143_01-06-2023-14.30,60000,0,0
03143_01-06-2023-14.30,70600,55,56
03143_01-06-2023-14.30,04040,81,82
03143_01-06-2023-14.30,71801,170,180
03143_01-06-2023-14.30,79300,218,220
03143_01-06-2023-14.30,04307,235,235
03151_01-06-2023-15.00,60000,0,0
03151_01-06-2023-15.00,71801,149,149
03153_01-06-2023-15.30,60000,0,0
03153_01-06-2023-15.30,70600,55,56
03153_01-06-2023-15.30,04040,81,82
03153_01-06-2023-15.30,78400,125,127
03153_01-06-2023-15.30,71500,154,156
03153_01-06-2023-15.30,71801,192,192
03161_01-06-2023-16.00,60000,0,0
03161_01-06-2023-16.00,71801,150,150
03163_01-06-2023-16.30,60000,0,0
03163_01-06-2023-16.30,04040,75,76
03163_01-06-2023-16.30,71801,165,175
03163_01-06-2023-16.30,79300,221,223
03163_01-06-2023-16.30,04307,238,238
03171_01-06-2023-17.00,60000,0,0
03171_01-06-2023-17.00,71801,150,150
03173_01-06-2023-17.30,60000,0,0
03173_01-06-2023-17.30,70200,23,24
03173_01-06-2023-17.30,04040,81,82
03173_01-06-2023-17.30,78400,125,127
03173_01-06-2023-17.30,71500,154,156
03173_01-06-2023-17.30,71801,192,192
06307_01-06-2023-18.00,60000,0,0
06307_01-06-2023-18.00,71801,150,150
03183_01-06-2023-18.30,60000,0,0
03183_01-06-2023-18.30,04040,75,76
03183_01-06-2023-18.30,71500,134,136
03183_01-06-2023-18.30,71801,170,170
03191_01-06-2023-19.00,60000,0,0
03191_01-06-2023-19.00,71801,150,160
03191_01-06-2023-19.00,79300,198,200
03191_01-06-2023-19.00,04307,215,215
06309_01-06-2023-19.30,60000,0,0
06309_01-06-2023-19.30,70200,23,24
06309_01-06-2023-19.30,70600,59,60
06309_01-06-2023-19.30,04040,85,86
06309_01-06-2023-19.30,78400,129,131
06309_01-06-2023-19.30,71500,158,160
06309_01-06-2023-19.30,71801,196,206
06309_01-06-2023-19.30,79300,244,246
06309_01-06-2023-19.30,04307,261,261
03201_01-06-2023-20.00,60000,0,0
03201_01-06-2023-20.00,71801,150,150
03203_01-06-2023-20.40,60000,0,0
03203_01-06-2023-20.40,70200,23,24
03203_01-06-2023-20.40,70600,60,61
03203_01-06-2023-20.40,04040,85,86
03203_01-06-2023-20.40,78400,129,131
03203_01-06-2023-20.40,71500,158,160
03203_01-06-2023-20.40,71801,195,195
03211_01-06-2023-21.10,60000,0,0
03211_01-06-2023-21.10,71801,150,150
